Date,Time,Open,High,Low,Close,Volume
2019.07.05,06:00,1.12787,1.12814,1.12716,1.12728,3052
2019.07.05,07:00,1.12728,1.12746,1.12652,1.1267,3698
2019.07.05,08:00,1.12666,1.12677,1.12609,1.12618,3787
2019.07.05,09:00,1.12619,1.1264,1.12555,1.12634,2787
2019.07.05,10:00,1.12632,1.12679,1.12588,1.12614,3482
2019.07.05,11:00,1.12614,1.12645,1.12568,1.12583,3138
2019.07.05,12:00,1.12584,1.12701,1.12321,1.12438,11766
2019.07.05,13:00,1.12438,1.12438,1.12149,1.12187,8411
2019.07.05,14:00,1.12188,1.12252,1.1207,1.12217,6708
2019.07.05,15:00,1.12218,1.12225,1.12077,1.12153,5372
2019.07.05,16:00,1.12152,1.12232,1.12146,1.12183,2907
2019.07.05,17:00,1.12184,1.12208,1.12154,1.12181,1964
2019.07.05,18:00,1.12182,1.12214,1.12171,1.12214,1625
2019.07.05,19:00,1.12215,1.12278,1.12212,1.12263,1874
2019.07.05,20:00,1.12262,1.12274,1.12241,1.12265,803
2019.07.07,21:05,1.12214,1.12284,1.12214,1.12262,48
2019.07.07,22:05,1.12263,1.12281,1.12249,1.12279,267
2019.07.07,23:05,1.12278,1.12282,1.12259,1.12262,311
2019.07.08,00:00,1.12264,1.12291,1.12192,1.12203,692
2019.07.08,01:00,1.12206,1.12277,1.12201,1.12269,581
2019.07.08,02:00,1.12266,1.12266,1.12229,1.12254,360
2019.07.08,03:00,1.12253,1.12289,1.1225,1.12277,360
2019.07.08,04:00,1.12277,1.12308,1.12247,1.12308,803
2019.07.08,05:00,1.12307,1.12323,1.12263,1.12294,1331
2019.07.08,06:00,1.12294,1.12294,1.12192,1.12198,2880
2019.07.08,07:00,1.12199,1.12323,1.12194,1.12313,3721
2019.07.08,08:00,1.12312,1.1234,1.12282,1.12309,2726
2019.07.08,09:00,1.12309,1.12323,1.12254,1.12276,2653
2019.07.08,10:00,1.12275,1.12296,1.12144,1.12146,2253
2019.07.08,11:00,1.12147,1.1221,1.1213,1.12203,2413
2019.07.08,12:00,1.12204,1.12265,1.12124,1.12229,4087
2019.07.08,13:00,1.12228,1.1224,1.12143,1.12182,3902
2019.07.08,14:00,1.12181,1.12207,1.12093,1.12145,3597
2019.07.08,15:00,1.12145,1.12184,1.12068,1.12077,2566
2019.07.08,16:00,1.12079,1.12165,1.12066,1.12143,1865
2019.07.08,17:00,1.12144,1.12204,1.1214,1.12149,1421
2019.07.08,18:00,1.1215,1.12165,1.12112,1.12115,1217
2019.07.08,19:00,1.12114,1.12127,1.12086,1.12087,1307
2019.07.08,20:00,1.12087,1.12139,1.12078,1.12138,666
2019.07.08,21:05,1.12133,1.12174,1.12126,1.12155,532
2019.07.08,22:05,1.12155,1.12168,1.12143,1.12143,714
2019.07.08,23:05,1.1214,1.12158,1.12135,1.12148,452
2019.07.09,00:00,1.12147,1.12184,1.1213,1.12152,1010
2019.07.09,01:00,1.12152,1.12165,1.12093,1.1213,1190
